32 16
0 0 0 55 55 55 55 55 55 55 55 55 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 55 55 55 55 55 55 55 55 55 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 55 55 55 55 55 55 55 55 55 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 55 55 55 55 55 55 55 55 55 55 66 66 66 66 66 66 66 66 66 66 66 0 0 0 0 0 0 0 0 
0 0 0 55 55 55 55 55 55 55 55 55 55 22 22 22 22 22 66 66 66 66 66 66 0 0 0 0 0 0 0 0 
0 0 0 55 55 55 55 55 55 55 55 55 55 22 22 22 22 22 66 66 66 66 66 66 0 0 0 0 0 0 0 0 
0 0 0 55 55 55 55 55 55 55 55 55 55 22 22 22 22 22 66 66 66 66 66 66 0 0 0 0 0 0 0 0 
77 77 77 77 66 66 77 0 0 0 22 22 66 66 66 66 66 66 66 66 66 66 66 66 0 88 0 0 0 0 0 0 
77 77 77 77 66 66 77 0 0 0 22 22 66 66 66 66 66 66 66 66 66 66 66 66 0 88 0 0 0 0 0 0 
77 77 77 77 66 66 77 0 0 88 88 22 22 22 22 0 0 0 0 0 0 0 0 0 0 88 0 0 0 0 0 0 
77 77 77 77 66 66 77 0 0 88 88 0 0 0 88 88 88 88 88 88 88 0 0 0 0 88 0 0 0 0 0 0 
77 77 77 77 77 77 77 0 0 88 88 0 0 0 0 0 0 0 88 0 0 0 0 0 0 88 22 22 0 0 0 0 
77 77 77 77 77 77 77 0 0 88 88 0 0 0 0 0 0 0 88 0 0 0 0 0 0 88 22 22 0 0 0 0 
0 0 0 0 0 0 0 0 0 88 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
